the max acc is 9930
no.	acc	ninas	ntk	tot
9930	73.493	1.400	0.425	1.825
===========================================================================
the problems are here (45):
no.	acc	ninas	ntk	tot
8695	71.870	1.580	0.419	1.999
14112	68.247	1.566	0.418	1.984
81	72.773	1.553	0.423	1.976
168	71.800	1.562	0.410	1.972
7335	70.140	1.544	0.424	1.967
1459	72.513	1.544	0.423	1.966
15510	71.170	1.541	0.422	1.963
4237	72.947	1.524	0.425	1.950
9208	70.240	1.527	0.419	1.947
4208	71.940	1.537	0.409	1.946
4244	72.980	1.523	0.416	1.939
3888	72.400	1.543	0.391	1.934
13390	72.300	1.504	0.422	1.926
6111	72.747	1.499	0.416	1.915
5292	72.593	1.486	0.423	1.909
12819	70.660	1.521	0.380	1.901
10563	69.970	1.494	0.404	1.897
9186	66.250	1.497	0.400	1.897
13714	73.307	1.486	0.409	1.895
8162	71.940	1.465	0.421	1.886
8768	70.400	1.470	0.414	1.884
3059	69.150	1.491	0.392	1.883
2352	71.100	1.460	0.419	1.878
440	70.600	1.454	0.424	1.878
8853	71.680	1.476	0.397	1.874
2554	71.067	1.513	0.359	1.872
10375	70.360	1.459	0.405	1.864
5111	71.660	1.447	0.416	1.864
11307	71.360	1.444	0.420	1.863
11009	70.600	1.459	0.404	1.863
3731	72.740	1.495	0.367	1.863
1275	70.013	1.452	0.401	1.854
13403	71.490	1.461	0.391	1.852
13560	70.640	1.482	0.370	1.852
10676	72.520	1.430	0.421	1.851
4192	69.560	1.470	0.376	1.846
9968	71.290	1.425	0.414	1.840
5207	70.773	1.414	0.426	1.840
2581	73.127	1.426	0.411	1.837
3385	71.710	1.431	0.402	1.833
5596	70.350	1.419	0.413	1.832
12552	70.080	1.457	0.373	1.830
3192	70.820	1.406	0.421	1.827
4269	70.880	1.431	0.396	1.826
mean acc: 71.19901510939165
================================================
sort by tot
no.	acc	ninas	entropy	ntk	tot
12	1.000	-inf	-2.569	-3.858	-inf
104	1.000	-inf	-2.569	-3.858	-inf
105	1.000	-inf	-2.569	-3.858	-inf
108	1.000	-inf	-2.569	-3.858	-inf
172	1.000	-inf	-2.569	-3.858	-inf
182	1.000	-inf	-2.569	-3.858	-inf
233	1.000	-inf	-2.569	-3.858	-inf
426	1.000	-inf	-2.569	-3.858	-inf
441	1.000	-inf	-2.569	-3.858	-inf
540	1.000	-inf	-2.569	-3.858	-inf
632	1.000	-inf	-2.569	-3.858	-inf
867	1.000	-inf	-2.569	-3.858	-inf
879	1.000	-inf	-2.569	-3.858	-inf
885	1.000	-inf	-2.569	-3.858	-inf
933	1.000	-inf	-2.569	-3.858	-inf
939	1.000	-inf	-2.569	-3.858	-inf
1291	1.000	-inf	-2.569	-3.858	-inf
1505	1.000	-inf	-2.569	-3.858	-inf
1553	1.000	-inf	-2.569	-3.858	-inf
1560	1.000	-inf	-2.569	-3.858	-inf
1651	1.000	-inf	-2.569	-3.858	-inf
1774	1.000	-inf	-2.569	-3.858	-inf
1911	1.000	-inf	-2.569	-3.858	-inf
2284	1.000	-inf	-2.569	-3.858	-inf
2384	1.000	-inf	-2.569	-3.858	-inf
2520	1.000	-inf	-2.569	-3.858	-inf
2565	1.000	-inf	-2.569	-3.858	-inf
2688	1.000	-inf	-2.569	-3.858	-inf
2774	1.000	-inf	-2.569	-3.858	-inf
2796	1.000	-inf	-2.569	-3.858	-inf
2797	1.000	-inf	-2.569	-3.858	-inf
2840	1.000	-inf	-2.569	-3.858	-inf
3071	1.000	-inf	-2.569	-3.858	-inf
3341	1.000	-inf	-2.569	-3.858	-inf
3351	1.000	-inf	-2.569	-3.858	-inf
3542	1.000	-inf	-2.569	-3.858	-inf
3808	1.000	-inf	-2.569	-3.858	-inf
3854	1.000	-inf	-2.569	-3.858	-inf
3943	1.000	-inf	-2.569	-3.858	-inf
4033	1.000	-inf	-2.569	-3.858	-inf
4094	1.000	-inf	-2.569	-3.858	-inf
4142	1.000	-inf	-2.569	-3.858	-inf
4159	1.000	-inf	-2.569	-3.858	-inf
4175	1.000	-inf	-2.569	-3.858	-inf
4345	1.000	-inf	-2.569	-3.858	-inf
4478	1.000	-inf	-2.569	-3.858	-inf
4516	1.000	-inf	-2.569	-3.858	-inf
4891	1.000	-inf	-2.569	-3.858	-inf
4894	1.000	-inf	-2.569	-3.858	-inf
4991	1.000	-inf	-2.569	-3.858	-inf
5039	1.000	-inf	-2.569	-3.858	-inf
5047	1.000	-inf	-2.569	-3.858	-inf
5078	1.000	-inf	-2.569	-3.858	-inf
5100	1.000	-inf	-2.569	-3.858	-inf
5168	1.000	-inf	-2.569	-3.858	-inf
5175	1.000	-inf	-2.569	-3.858	-inf
5320	1.000	-inf	-2.569	-3.858	-inf
5391	1.000	-inf	-2.569	-3.858	-inf
5409	1.000	-inf	-2.569	-3.858	-inf
5678	1.000	-inf	-2.569	-3.858	-inf
5753	1.000	-inf	-2.569	-3.858	-inf
5894	1.000	-inf	-2.569	-3.858	-inf
5905	1.000	-inf	-2.569	-3.858	-inf
6040	1.000	-inf	-2.569	-3.858	-inf
6112	1.000	-inf	-2.569	-3.858	-inf
6198	1.000	-inf	-2.569	-3.858	-inf
6366	1.000	-inf	-2.569	-3.858	-inf
6450	1.000	-inf	-2.569	-3.858	-inf
6478	1.000	-inf	-2.569	-3.858	-inf
6559	1.000	-inf	-2.569	-3.858	-inf
6668	1.000	-inf	-2.569	-3.858	-inf
6744	1.000	-inf	-2.569	-3.858	-inf
6970	1.000	-inf	-2.569	-3.858	-inf
7050	1.000	-inf	-2.569	-3.858	-inf
7080	1.000	-inf	-2.569	-3.858	-inf
7096	1.000	-inf	-2.569	-3.858	-inf
7126	1.000	-inf	-2.569	-3.858	-inf
7208	1.000	-inf	-2.569	-3.858	-inf
7230	1.000	-inf	-2.569	-3.858	-inf
7321	1.000	-inf	-2.569	-3.858	-inf
7365	1.000	-inf	-2.569	-3.858	-inf
7371	1.000	-inf	-2.569	-3.858	-inf
7643	1.000	-inf	-2.569	-3.858	-inf
7744	1.000	-inf	-2.569	-3.858	-inf
7797	1.000	-inf	-2.569	-3.858	-inf
7904	1.000	-inf	-2.569	-3.858	-inf
7995	1.000	-inf	-2.569	-3.858	-inf
8133	1.000	-inf	-2.569	-3.858	-inf
8164	1.000	-inf	-2.569	-3.858	-inf
8183	1.000	-inf	-2.569	-3.858	-inf
8232	1.000	-inf	-2.569	-3.858	-inf
8237	1.000	-inf	-2.569	-3.858	-inf
8274	1.000	-inf	-2.569	-3.858	-inf
8552	1.000	-inf	-2.569	-3.858	-inf
8582	1.000	-inf	-2.569	-3.858	-inf
8653	1.000	-inf	-2.569	-3.858	-inf
8699	1.000	-inf	-2.569	-3.858	-inf
8740	1.000	-inf	-2.569	-3.858	-inf
8762	1.000	-inf	-2.569	-3.858	-inf
8765	1.000	-inf	-2.569	-3.858	-inf
8887	1.000	-inf	-2.569	-3.858	-inf
8927	1.000	-inf	-2.569	-3.858	-inf
8958	1.000	-inf	-2.569	-3.858	-inf
9011	1.000	-inf	-2.569	-3.858	-inf
9051	1.000	-inf	-2.569	-3.858	-inf
9177	1.000	-inf	-2.569	-3.858	-inf
9249	1.000	-inf	-2.569	-3.858	-inf
9311	1.000	-inf	-2.569	-3.858	-inf
9416	1.000	-inf	-2.569	-3.858	-inf
9437	1.000	-inf	-2.569	-3.858	-inf
9520	1.000	-inf	-2.569	-3.858	-inf
9531	1.000	-inf	-2.569	-3.858	-inf
9544	1.000	-inf	-2.569	-3.858	-inf
9585	1.000	-inf	-2.569	-3.858	-inf
9625	1.000	-inf	-2.569	-3.858	-inf
9719	1.000	-inf	-2.569	-3.858	-inf
9852	1.000	-inf	-2.569	-3.858	-inf
9871	1.000	-inf	-2.569	-3.858	-inf
9894	1.000	-inf	-2.569	-3.858	-inf
10008	1.000	-inf	-2.569	-3.858	-inf
10120	1.000	-inf	-2.569	-3.858	-inf
10211	1.000	-inf	-2.569	-3.858	-inf
10270	1.000	-inf	-2.569	-3.858	-inf
10273	1.000	-inf	-2.569	-3.858	-inf
10284	1.000	-inf	-2.569	-3.858	-inf
10448	1.000	-inf	-2.569	-3.858	-inf
10508	1.000	-inf	-2.569	-3.858	-inf
10520	1.000	-inf	-2.569	-3.858	-inf
